theme,mean_subjects,std_subjects,min_subjects,max_subjects,n_years,coeff_variation
Santé,1440.095238095238,1993.7810287180964,656,10063,21,1.384478592787515
Politique France,2462.6666666666665,1044.992791043715,1226,5091,21,0.4243338350204582
Sport,1949.6666666666667,606.322219066177,559,2896,21,0.3109876315948933
Faits divers,1215.2857142857142,365.48914386847963,654,1919,21,0.300743388630464
Histoire-hommages,593.4285714285714,172.67384614601352,264,845,21,0.29097663048196787
Justice,1532.1904761904761,425.32065774514393,668,2237,21,0.27758993699179585
Catastrophes,1767.904761904762,482.86446387800214,953,2976,21,0.27312809732904286
Economie,2406.1428571428573,597.3184482095196,1591,3369,21,0.24824729189969938
International,4919.0,1156.8605793266534,2309,7504,21,0.23518206532357255
Sciences et techniques,580.2380952380952,118.0656193656328,396,817,21,0.20347788319066795
Environnement,1246.0,249.7076290384417,821,1700,21,0.20040740693293876
Société,5144.714285714285,962.4912021861356,2967,6631,21,0.18708350915788605
Culture-loisirs,2098.6190476190477,364.24915596202504,1331,2920,21,0.17356611547735531
Education,569.6666666666666,98.4471093193362,407,778,21,0.1728152884482204
