year,is_public_channel,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
2010,False,0.27221551170830505,0.7277844882916951,18940337.02,51102556.58,26326
2010,True,0.28190763095631594,0.7180923690436841,8639447.3,21971094.5,11110
2011,False,0.2774335657053545,0.7225664342946456,22077818.46,58228259.96,30166
2011,True,0.31161440645297006,0.68838559354703,11099839.34,24351796.82,12626
2012,False,0.2790251845804666,0.7209748154195335,21701975.38,56746491.6,28959
2012,True,0.3279076459325966,0.6720923540674034,11640986.440000001,23731951.38,12610
2013,False,0.29217308468338926,0.7078269153166108,27199585.2,66867751.74,34676
2013,True,0.32577109821326117,0.6742289017867389,11479185.86,23555106.82,12266
2014,False,0.2909172216559665,0.7090827783440334,27646785.08,68683613.1,34726
2014,True,0.32924800561947165,0.6707519943805283,12002708.74,24228396.560000002,12387
2015,False,0.2827337935784912,0.7172662064215087,27120803.06,69959585.98,34857
2015,True,0.3298197030334816,0.6701802969665184,12008187.26,24071570.14,12304
2016,False,0.2800946899136613,0.7199053100863387,26956646.16,70955661.86,35060
2016,True,0.33540332213709195,0.664596677862908,12417599.98,24382591.76,12441
2017,False,0.28009450137714587,0.7199054986228541,26406247.68,69438438.88,35026
2017,True,0.34574814246016755,0.6542518575398325,12457309.96,23159931.92,12388
2018,False,0.28977745240425606,0.7102225475957439,31681922.3,79724156.96000001,40816
2018,True,0.3607153802352217,0.6392846197647782,15980290.86,27744904.18,15174
2019,False,0.28201223763600203,0.717987762363998,16366048.6,42799756.4,21455
2019,True,0.3708593799239564,0.6291406200760437,7164233.32,11904511.98,6606
